States,Diabetes Status,Age Group,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
,,18-34 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,1,3,56,82,67,77,96,89,74
,,35-49 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,5,4,6,0,2,3,7,69,131,95,112,99,89,90
,,50-64 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,1,0,3,7,52,77,54,47,47,41,35
,,65 +,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,5,6,6,1,1,2,1
Arizona,All Diabetes,All Recipient Ages,654,733,687,648,726,638,627,609,502,432,467,377,431,356,386,349,353,309,295,278,236,248,231,180,195,182,148,137,137,153,149,109,113,121,147,140
,,1-5 Years,1,0,5,5,2,0,4,4,3,2,1,3,5,3,0,7,3,8,3,3,3,1,2,0,2,1,5,2,2,1,3,1,2,0,0,0
,,6-10 Years,1,3,2,2,6,0,5,2,2,1,3,3,1,2,1,3,1,3,2,2,3,3,1,3,6,4,5,6,3,2,2,4,3,2,4,2
,,11-17 Years,2,6,13,7,18,13,10,7,4,5,6,9,7,4,8,3,5,12,5,6,5,8,7,5,6,9,1,8,10,9,5,6,5,8,9,6
,,18-34 Years,75,89,64,69,82,74,68,64,50,52,41,38,40,34,45,50,49,50,35,44,38,43,27,33,34,41,46,23,35,31,46,30,35,45,42,45
,,35-49 Years,138,158,145,150,163,138,147,124,125,103,104,97,91,80,106,88,84,67,92,80,70,71,83,62,61,69,52,56,47,58,55,31,38,32,56,43
,,50-64 Years,248,261,277,270,262,251,247,248,216,171,201,149,195,161,144,143,156,124,121,110,90,95,83,63,76,49,35,37,35,43,31,33,26,26,32,40
,,65 +,189,216,181,145,193,162,146,160,102,98,111,78,92,72,82,55,55,45,37,33,27,27,28,14,10,9,4,5,5,9,7,4,4,8,4,4
,Diabetes Status Unknown,All Recipient Ages,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
,,35-49 Years,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
,,50-64 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,No,All Recipient Ages,377,431,434,392,448,402,377,355,289,260,275,225,268,207,238,217,231,211,198,189,159,174,161,124,141,132,104,73,70,24,0,0,1,0,0,0
,,1-5 Years,1,0,5,5,2,0,4,4,3,2,1,3,5,3,0,7,3,8,3,3,3,1,2,0,2,1,5,2,2,1,0,0,0,0,0,0
,,6-10 Years,1,3,2,2,6,0,5,2,2,1,3,3,1,2,1,3,1,3,2,2,3,3,1,3,6,4,5,6,3,1,0,0,0,0,0,0
,,11-17 Years,2,6,13,7,18,12,10,7,4,5,6,9,7,4,7,3,5,12,5,6,5,8,7,5,6,9,1,8,10,4,0,0,0,0,0,0
,,18-34 Years,70,84,58,65,77,72,63,63,50,47,39,34,38,32,39,46,46,47,35,42,34,38,24,30,32,36,31,14,17,9,0,0,1,0,0,0
,,35-49 Years,89,98,100,100,125,109,107,88,88,72,74,68,71,60,82,63,66,50,68,59,48,49,60,43,46,46,36,23,20,4,0,0,0,0,0,0
,,50-64 Years,117,126,169,136,122,127,121,120,97,87,104,67,94,72,66,68,80,69,65,57,50,55,47,33,43,28,22,17,16,5,0,0,0,0,0,0
,,65 +,97,114,87,77,98,82,67,71,45,46,48,41,52,34,43,27,30,22,20,20,16,20,20,10,6,8,4,3,2,0,0,0,0,0,0,0
,Type I,All Recipient Ages,20,21,16,15,10,18,19,14,21,22,24,18,21,26,29,26,39,16,18,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,,11-17 Years,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,18-34 Years,1,1,3,3,1,0,1,0,0,4,0,0,2,2,5,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,35-49 Years,8,10,7,4,3,5,8,5,9,6,8,3,5,8,11,10,4,6,8,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,,50-64 Years,9,8,4,8,5,11,8,7,11,12,14,13,11,12,11,14,27,8,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,65 +,2,2,2,0,1,1,2,2,1,0,2,2,3,4,2,1,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Type II,All Recipient Ages,256,281,236,241,268,217,229,240,191,148,166,128,139,120,115,88,62,58,34,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,18-34 Years,4,4,3,1,4,2,4,1,0,1,2,4,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,35-49 Years,41,50,38,46,35,24,32,31,28,23,21,22,14,12,12,15,9,7,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,50-64 Years,122,127,103,126,135,112,116,121,108,72,82,68,88,74,65,49,37,31,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,65 +,89,100,92,68,94,79,77,87,55,52,61,34,37,34,37,21,16,19,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Type Other,All Recipient Ages,0,0,1,0,0,1,1,0,1,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,11-17 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,35-49 Years,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,50-64 Years,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,65 +,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Type Unknown,All Recipient Ages,0,0,0,0,0,0,1,0,0,2,1,4,3,2,2,16,21,24,45,83,76,73,69,54,52,39,30,42,30,12,0,0,0,0,0,0
,,18-34 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,5,3,3,2,3,9,5,9,2,0,0,0,0,0,0
,,35-49 Years,0,0,0,0,0,0,0,0,0,2,1,2,1,0,0,0,5,4,9,19,21,21,22,17,15,16,11,22,11,5,0,0,0,0,0,0
,,50-64 Years,0,0,0,0,0,0,1,0,0,0,0,1,2,2,2,12,12,16,27,49,40,40,36,30,31,19,10,15,9,5,0,0,0,0,0,0
,,65 +,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,4,4,9,13,11,7,8,4,4,1,0,0,1,0,0,0,0,0,0,0
,Unknown,All Recipient Ages,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,11,14,22,37,116,149,109,112,121,147,140
,,1-5 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0
,,6-10 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,3,2,4,2
,,11-17 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,6,5,8,9,6
,,18-34 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,4,9,20,46,30,34,45,42,45
,,35-49 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,7,5,11,16,48,55,31,38,32,56,43
,,50-64 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,5,10,33,31,33,26,26,32,40
,,65 +,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,9,7,4,4,8,4,4
Arkansas,All Diabetes,All Recipient Ages,146,160,193,151,172,122,75,88,80,67,85,108,100,100,113,87,119,130,132,120,95,100,77,88,92,93,101,89,99,89,91,89,69,63,61,36
,,< 1 Year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,,1-5 Years,1,3,4,3,1,5,1,2,0,3,1,1,0,0,1,0,3,1,1,0,3,2,0,2,0,4,0,2,1,1,2,3,1,2,0,1
,,6-10 Years,2,0,2,2,2,3,0,1,0,0,0,1,0,3,2,2,2,0,0,0,0,3,0,1,0,0,1,2,2,2,1,0,2,1,4,1
,,11-17 Years,1,2,3,2,2,5,3,5,6,3,5,3,4,6,6,2,6,2,6,3,1,3,0,2,6,3,3,5,3,2,3,2,2,3,3,7
,,18-34 Years,11,13,22,15,16,11,12,16,14,12,13,14,13,13,15,14,14,20,28,30,23,21,17,26,15,22,20,14,26,20,18,28,21,18,20,14
,,35-49 Years,44,50,57,47,63,37,20,16,32,19,17,31,22,27,30,33,33,52,37,32,34,31,31,24,33,35,46,38,27,36,36,39,27,21,22,12
,,50-64 Years,67,66,64,60,59,39,26,33,18,21,34,44,41,39,43,26,44,44,51,53,28,30,24,29,33,26,28,21,37,25,26,15,13,16,12,0
,,65 +,20,26,41,22,29,22,13,15,10,9,15,14,20,12,16,10,17,11,9,2,6,10,5,4,5,3,3,7,3,3,5,2,3,1,0,1
,Diabetes Status Unknown,All Recipient Ages,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
,,11-17 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,,18-34 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
,,35-49 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,50-64 Years,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,No,All Recipient Ages,86,97,117,94,110,85,53,63,56,45,57,71,67,62,72,54,77,91,88,85,73,77,54,66,67,76,69,61,58,28,2,1,0,1,1,0
,,1-5 Years,1,3,4,3,1,5,1,2,0,3,1,1,0,0,1,0,3,1,1,0,3,2,0,2,0,4,0,2,1,0,0,0,0,0,0,0
,,6-10 Years,2,0,2,2,2,3,0,1,0,0,0,1,0,2,2,2,2,0,0,0,0,3,0,1,0,0,1,2,2,1,0,0,0,0,0,0
,,11-17 Years,1,2,3,2,2,5,3,5,6,3,5,3,4,6,6,2,6,2,6,3,1,3,0,2,6,2,3,5,3,0,0,0,0,0,0,0
,,18-34 Years,9,13,19,14,13,10,12,14,13,8,12,12,12,11,14,11,11,18,22,25,21,20,14,21,14,18,11,12,17,7,1,0,0,1,1,0
,,35-49 Years,29,40,32,33,42,24,15,11,21,15,12,22,15,17,21,23,18,35,25,23,23,22,22,16,20,29,31,20,17,11,1,0,0,0,0,0
,,50-64 Years,34,30,34,29,32,29,16,19,12,11,16,26,22,17,16,12,26,26,28,32,21,20,14,21,23,21,21,15,16,8,0,1,0,0,0,0
,,65 +,10,9,23,11,18,9,6,11,4,5,11,6,14,9,12,4,11,9,6,2,4,7,4,3,4,2,2,5,2,1,0,0,0,0,0,0
,Type I,All Recipient Ages,5,3,8,5,8,1,3,2,6,5,4,5,4,6,6,10,16,10,14,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,18-34 Years,1,0,2,0,1,0,0,1,1,3,1,0,0,2,1,2,3,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,35-49 Years,2,3,5,5,6,1,1,0,4,2,2,4,2,2,3,4,8,6,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,50-64 Years,2,0,1,0,1,0,1,1,1,0,1,1,2,1,2,4,5,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,65 +,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Type II,All Recipient Ages,55,60,60,51,54,36,18,22,16,14,21,26,27,27,31,21,26,27,20,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
,,18-34 Years,1,0,1,1,2,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,35-49 Years,13,7,16,9,15,12,4,4,6,2,3,5,5,7,5,5,7,10,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
,,50-64 Years,31,36,26,30,26,10,9,13,4,7,16,13,15,18,23,10,13,15,16,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,,65 +,10,17,17,11,11,13,5,4,6,4,2,8,6,2,3,5,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Type Other,All Recipient Ages,0,0,8,1,0,0,1,1,2,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,6-10 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,18-34 Years,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,35-49 Years,0,0,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,50-64 Years,0,0,3,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,65 +,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Type Unknown,All Recipient Ages,0,0,0,0,0,0,0,0,0,2,3,3,2,4,4,2,0,1,9,24,20,22,23,21,23,16,28,19,22,8,0,0,0,0,0,0
,,18-34 Years,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,1,0,3,5,1,4,6,2,6,2,0,0,0,0,0,0
,,35-49 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,3,4,10,9,9,8,11,6,15,10,5,3,0,0,0,0,0,0
,,50-64 Years,0,0,0,0,0,0,0,0,0,2,1,2,2,3,2,0,0,1,4,16,7,10,10,7,10,5,6,5,10,3,0,0,0,0,0,0
,,65 +,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,1,0,2,3,1,1,1,1,1,2,1,0,0,0,0,0,0,0
,Unknown,All Recipient Ages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,4,9,19,52,89,88,68,62,60,36
,,< 1 Year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,,1-5 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1,2,0,1
,,6-10 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,4,1
,,11-17 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,2,3,3,7
,,18-34 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,3,10,17,28,21,17,19,14
,,35-49 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,8,5,22,35,39,26,21,22,12
,,50-64 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,11,14,26,14,13,16,12,0
,,65 +,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,3,1,0,1
California,All Diabetes,All Recipient Ages,2464,2786,2702,2591,2619,2486,2281,2287,2198,2039,2085,2073,1998,1939,1822,1926,1912,1931,1814,1960,1844,1697,1596,1529,1382,1463,1392,1339,1302,1252,1306,1207,1282,1219,1152,1192
,,< 1 Year,0,0,0,0,0,0,0,0,2,2,0,1,0,0,1,0,0,1,0,0,0,1,1,2,0,1,0,2,1,1,0,2,1,2,0,0
,,1-5 Years,16,15,23,28,15,15,32,16,20,26,31,26,25,29,30,18,15,19,22,25,20,21,24,15,23,17,26,12,14,15,17,14,12,10,10,14
,,6-10 Years,20,12,17,21,18,20,16,13,19,22,22,16,15,18,21,28,24,17,20,23,23,20,24,15,9,16,21,17,21,18,19,13,17,18,19,12
,,11-17 Years,54,69,58,62,63,50,60,68,43,62,48,75,71,58,81,70,71,115,83,62,92,67,78,56,64,53,59,52,60,48,58,68,44,50,50,57
,,18-34 Years,308,384,364,365,376,333,309,343,331,265,265,290,261,285,287,294,284,335,322,329,328,316,291,327,285,315,294,317,291,325,364,352,371,330,350,360
,,35-49 Years,599,669,682,678,659,613,535,582,573,506,498,505,520,494,489,539,508,552,513,578,507,523,518,503,468,492,475,474,482,454,449,404,490,456,402,445
,,50-64 Years,922,1060,1033,954,962,963,955,867,814,803,863,814,790,758,650,719,724,643,623,704,649,567,527,481,435,465,431,381,371,322,340,301,289,309,286,263
,,65 +,545,577,525,483,526,492,374,398,396,353,358,346,316,297,263,258,286,249,231,239,225,181,133,130,98,104,86,84,62,69,59,53,58,44,35,41
,,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Diabetes Status Unknown,All Recipient Ages,0,0,1,0,0,0,1,1,2,1,4,6,4,6,8,12,16,21,30,19,21,20,28,26,18,30,17,8,4,8,3,2,0,0,0,2
