States,Diabetes Status,Relationship,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
,,"Non-Biological, Other Unrelated Directed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
,No,All Donor Relations,167,194,207,215,193,179,212,153,146,164,174,141,169,186,172,186,213,194,190,170,246,232,220,228,198,216,209,197,226,53,1,0,0,0,2,0
,,"Biological, blood related Parent",2,4,3,4,7,5,3,5,3,5,9,7,12,11,11,6,9,9,7,4,17,16,15,10,17,10,21,20,17,7,1,0,0,0,1,0
,,"Biological, blood related Child",3,0,11,1,4,7,11,3,1,9,11,10,6,6,13,7,16,11,13,21,29,15,16,17,11,8,8,2,5,9,0,0,0,0,0,0
,,"Biological, blood related Identical Twin",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Full Sibling",3,4,2,4,8,3,8,6,9,11,19,11,12,13,15,17,23,20,33,30,29,44,46,19,30,36,34,16,27,15,0,0,0,0,1,0
,,"Biological, blood related Half Sibling",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,2,0,1,1,0,0,3,0,0,0,0,0,0
,,"Biological, blood related Other Relative",4,2,4,0,5,5,2,1,8,3,9,4,13,10,11,8,7,15,7,3,16,12,7,2,11,5,8,4,6,0,0,0,0,0,0,0
,,"Non-Biological, Spouse",4,2,5,6,6,4,4,6,5,9,13,7,8,7,14,10,17,21,10,14,14,7,4,7,10,15,10,6,7,2,0,0,0,0,0,0
,,"Non-Biol,unrel: Paired Donation",2,9,8,9,7,13,19,11,15,6,10,0,0,2,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biol,unrel: Anonymous Donation",1,3,0,2,0,0,1,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Deceased Donor Transplant, Not Applicabl",124,155,163,177,143,119,143,99,94,97,80,81,99,116,82,112,124,98,97,75,116,112,111,154,114,138,127,142,164,15,0,0,0,0,0,0
,,"Non-Biological, Other Unrelated Directed",13,15,11,11,13,23,21,21,11,23,22,21,18,18,24,25,17,17,22,23,25,23,17,17,5,2,0,7,0,1,0,0,0,0,0,0
,,NOT REPORTED,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,1,0,0,0,0,0,0
,Type I,All Donor Relations,4,8,7,6,11,14,12,6,8,12,5,4,4,5,8,3,9,12,8,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Parent",0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Child",0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Full Sibling",1,3,0,1,0,1,0,1,0,1,0,0,0,0,1,0,3,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Other Relative",0,2,0,0,1,1,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biological, Spouse",0,0,0,0,1,1,0,0,0,2,0,0,0,0,3,1,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biol,unrel: Paired Donation",0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biol,unrel: Anonymous Donation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Deceased Donor Transplant, Not Applicabl",3,2,7,5,9,8,8,3,5,3,3,4,3,4,0,2,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biological, Other Unrelated Directed",0,1,0,0,0,0,2,0,1,4,0,0,1,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Type II,All Donor Relations,61,96,115,129,83,69,83,57,65,57,30,19,17,17,34,19,22,17,8,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Child",5,1,5,3,2,4,7,2,3,5,3,0,2,4,0,5,8,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Full Sibling",0,2,0,2,1,3,4,3,1,3,2,0,2,1,7,3,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Other Relative",1,2,1,2,1,1,0,3,1,2,1,0,0,0,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biological, Spouse",0,1,2,2,3,2,3,0,4,1,0,0,0,1,4,3,4,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biol,unrel: Paired Donation",2,1,1,5,4,8,4,6,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biol,unrel: Anonymous Donation",0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Deceased Donor Transplant, Not Applicabl",50,87,102,110,56,47,59,39,43,38,22,17,10,8,14,5,4,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biological, Other Unrelated Directed",2,2,2,5,15,4,5,4,8,8,2,2,3,3,6,2,2,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,NOT REPORTED,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Type Other,All Donor Relations,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Child",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Deceased Donor Transplant, Not Applicabl",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biological, Other Unrelated Directed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Type Unknown,All Donor Relations,1,1,4,2,8,13,0,0,1,1,31,40,51,33,43,35,58,69,81,65,70,81,76,78,64,57,67,75,53,26,0,0,0,0,0,0
,,"Biological, blood related Parent",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,2,4,0,3,2,6,5,2,6,0,0,0,0,0,0
,,"Biological, blood related Child",0,0,0,0,0,0,0,0,0,0,5,3,6,2,2,3,5,10,13,4,15,10,9,4,6,6,6,3,4,1,0,0,0,0,0,0
,,"Biological, blood related Full Sibling",0,0,0,0,0,0,0,0,0,0,1,6,7,0,4,0,2,6,9,9,4,12,9,12,10,10,4,17,14,8,0,0,0,0,0,0
,,"Biological, blood related Half Sibling",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Other Relative",0,0,0,0,0,0,0,0,0,0,3,2,4,1,0,0,2,5,3,1,4,7,1,2,1,1,2,1,1,2,0,0,0,0,0,0
,,"Non-Biological, Spouse",0,0,0,0,0,0,0,0,0,0,0,3,3,2,0,1,3,4,5,6,12,4,5,5,9,3,5,2,1,2,0,0,0,0,0,0
,,"Non-Biol,unrel: Paired Donation",0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Deceased Donor Transplant, Not Applicabl",1,1,4,2,8,12,0,0,1,1,16,19,24,26,35,28,40,34,38,35,28,42,41,48,32,31,41,46,31,7,0,0,0,0,0,0
,,"Non-Biological, Other Unrelated Directed",0,0,0,0,0,0,0,0,0,0,2,7,7,1,2,3,6,9,13,7,6,3,6,7,2,4,3,1,0,0,0,0,0,0,0,0
,Unknown,All Donor Relations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,6,10,15,1,2,7,19,186,312,239,251,262,236,210
,,"Biological, blood related Parent",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,28,20,24,22,22,14
,,"Biological, blood related Child",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,12,10,3,1,4,4
,,"Biological, blood related Full Sibling",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,49,34,30,28,30,39
,,"Biological, blood related Half Sibling",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
,,"Biological, blood related Other Relative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,4,1,2,3
,,"Non-Biological, Spouse",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,5,0,0,0,0
,,"Deceased Donor Transplant, Not Applicabl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,6,9,14,1,2,7,19,154,209,165,188,201,177,150
,,"Non-Biological, Other Unrelated Directed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,2,1,0
,,NOT REPORTED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,1,0,7,0,0
Arizona,All Diabetes,All Donor Relations,654,733,687,648,726,638,627,609,502,432,467,377,431,356,386,349,353,309,295,278,236,248,231,180,195,182,148,137,137,153,149,109,113,121,147,140
,,"Biological, blood related Parent",7,6,9,7,12,11,4,6,5,5,11,9,11,9,10,14,10,9,9,11,9,18,14,12,13,9,14,5,11,3,10,4,3,11,8,1
,,"Biological, blood related Child",10,14,19,8,19,20,15,18,20,10,30,26,29,24,45,24,30,33,32,31,25,25,25,21,20,13,2,1,5,7,5,6,2,2,3,3
,,"Biological, blood related Identical Twin",0,0,0,0,0,1,0,0,0,0,0,0,1,1,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Full Sibling",9,26,5,14,28,18,26,19,15,25,31,17,34,34,43,30,40,44,30,32,35,31,41,21,25,16,28,16,15,20,28,8,17,19,15,11
,,"Biological, blood related Half Sibling",2,3,3,0,0,0,2,0,2,0,2,0,0,2,2,0,0,0,1,2,0,1,5,1,2,1,1,1,1,0,1,0,0,0,1,0
,,"Biological, blood related Other Relative",7,7,8,7,9,8,11,6,13,15,10,9,16,21,17,14,12,13,13,10,8,9,5,6,3,4,2,2,3,3,0,1,0,0,0,0
,,"Non-Biological, Spouse",10,16,11,10,14,22,12,16,21,15,11,20,25,16,22,24,21,17,14,18,22,19,19,10,9,6,3,5,1,0,0,1,0,0,0,0
,,"Non-Biological, Life Partner",1,2,0,1,0,0,3,0,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biol,unrel: Paired Donation",38,27,52,40,14,13,6,9,6,11,6,16,13,12,11,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biol,unrel: Anonymous Donation",16,8,10,11,11,8,2,3,3,5,1,4,5,8,7,5,3,1,2,2,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
,,"Non-Biol,Living/Deceased Donor Donation",0,0,0,0,0,0,1,1,0,1,9,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Deceased Donor Transplant, Not Applicabl",515,581,547,530,583,494,506,500,381,302,326,229,250,184,182,188,179,143,147,131,102,111,101,90,110,123,88,105,100,111,103,89,91,85,120,125
,,"Non-Biological, Other Unrelated Directed",23,42,23,19,35,42,39,31,34,41,30,44,46,44,44,39,48,46,46,41,33,34,20,19,12,8,9,2,1,2,1,0,0,0,0,0
,,NOT REPORTED,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,7,1,0,0,4,0,0
,,"Non-Biological, Unrelated: Non-Domino Th",0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Diabetes Status Unknown,All Donor Relations,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
,,"Biological, blood related Full Sibling",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
,,"Deceased Donor Transplant, Not Applicabl",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biological, Other Unrelated Directed",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,No,All Donor Relations,377,431,434,392,448,402,377,355,289,260,275,225,268,207,238,217,231,211,198,189,159,174,161,124,141,132,104,73,70,24,0,0,1,0,0,0
,,"Biological, blood related Parent",6,6,8,6,11,9,3,6,5,5,10,9,11,9,10,12,10,9,9,11,7,15,11,10,13,7,13,5,11,2,0,0,0,0,0,0
,,"Biological, blood related Child",4,8,15,3,5,9,7,9,9,5,15,12,18,12,24,10,13,21,13,18,13,14,13,12,15,6,2,1,1,2,0,0,0,0,0,0
,,"Biological, blood related Identical Twin",0,0,0,0,0,1,0,0,0,0,0,0,1,1,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Full Sibling",6,18,3,11,23,14,16,16,11,18,24,15,29,28,32,25,35,38,24,24,30,23,25,13,22,15,22,9,9,10,0,0,1,0,0,0
,,"Biological, blood related Half Sibling",2,3,3,0,0,0,2,0,2,0,2,0,0,1,1,0,0,0,1,1,0,1,5,1,1,1,1,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Other Relative",6,6,3,5,7,7,9,4,7,11,7,6,7,10,13,10,7,9,10,9,7,5,3,5,3,4,2,1,1,3,0,0,0,0,0,0
,,"Non-Biological, Spouse",3,9,8,6,12,16,7,9,15,11,7,11,15,10,15,18,13,6,10,10,13,15,15,7,5,3,3,2,0,0,0,0,0,0,0,0
,,"Non-Biological, Life Partner",1,0,0,0,0,0,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biol,unrel: Paired Donation",25,19,37,26,10,9,3,6,5,8,4,11,9,10,8,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biol,unrel: Anonymous Donation",11,7,8,8,11,4,0,3,1,4,0,3,5,6,4,4,2,1,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biol,Living/Deceased Donor Donation",0,0,0,0,0,0,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Deceased Donor Transplant, Not Applicabl",292,327,329,312,345,300,294,285,207,167,175,124,137,90,98,107,112,92,95,88,66,73,73,60,73,89,51,54,48,5,0,0,0,0,0,0
,,"Non-Biological, Other Unrelated Directed",14,27,20,15,24,32,32,17,25,29,26,33,36,30,30,25,34,33,34,28,21,28,15,16,8,6,9,1,0,2,0,0,0,0,0,0
,,NOT REPORTED,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
,,"Non-Biological, Unrelated: Non-Domino Th",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Type I,All Donor Relations,20,21,16,15,10,18,19,14,21,22,24,18,21,26,29,26,39,16,18,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Parent",1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Child",0,0,0,0,0,2,1,2,1,1,0,1,0,0,1,4,6,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Full Sibling",1,2,1,0,1,0,2,1,2,4,1,1,2,1,4,2,3,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Half Sibling",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Other Relative",0,0,1,0,0,1,0,0,1,0,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biological, Spouse",0,1,1,2,0,2,1,1,1,0,1,2,4,0,3,0,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biological, Life Partner",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biol,unrel: Paired Donation",0,0,1,1,1,2,1,0,0,1,1,0,1,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biol,unrel: Anonymous Donation",1,1,0,0,0,0,0,0,1,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biol,Living/Deceased Donor Donation",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Deceased Donor Transplant, Not Applicabl",15,14,12,11,6,10,11,8,12,12,18,13,11,19,13,10,16,7,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biological, Other Unrelated Directed",2,3,0,0,2,1,2,2,3,3,1,0,3,2,5,4,2,2,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Type II,All Donor Relations,256,281,236,241,268,217,229,240,191,148,166,128,139,120,115,88,62,58,34,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Parent",0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Child",6,6,4,5,14,9,7,7,10,4,15,13,11,12,20,10,11,10,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Full Sibling",2,6,1,3,4,4,8,2,2,3,6,1,3,5,7,3,2,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Half Sibling",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Other Relative",1,1,4,2,2,0,2,2,5,4,3,3,9,9,3,4,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biological, Spouse",7,6,2,2,2,4,4,6,5,4,3,7,6,6,4,6,2,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biological, Life Partner",0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biol,unrel: Paired Donation",13,8,14,13,3,2,2,3,1,2,1,4,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biol,unrel: Anonymous Donation",4,0,2,3,0,4,2,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biol,Living/Deceased Donor Donation",0,0,0,0,0,0,0,1,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Deceased Donor Transplant, Not Applicabl",208,240,205,207,232,183,199,207,162,121,131,89,99,72,67,53,31,23,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biological, Other Unrelated Directed",7,12,3,4,9,9,5,12,5,9,3,10,7,12,9,10,12,9,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,NOT REPORTED,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biological, Unrelated: Non-Domino Th",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Type Other,All Donor Relations,0,0,1,0,0,1,1,0,1,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biol,Living/Deceased Donor Donation",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Deceased Donor Transplant, Not Applicabl",0,0,1,0,0,1,1,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biological, Other Unrelated Directed",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Type Unknown,All Donor Relations,0,0,0,0,0,0,1,0,0,2,1,4,3,2,2,16,21,24,45,83,76,73,69,54,52,39,30,42,30,12,0,0,0,0,0,0
,,"Biological, blood related Parent",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,2,0,1,1,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Child",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,12,10,12,9,5,6,0,0,3,2,0,0,0,0,0,0
,,"Biological, blood related Full Sibling",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,5,8,16,8,3,0,6,7,6,4,0,0,0,0,0,0
,,"Biological, blood related Half Sibling",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
,,"Biological, blood related Other Relative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,4,2,1,0,0,0,1,2,0,0,0,0,0,0,0
,,"Non-Biological, Spouse",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,4,4,3,4,3,0,3,0,0,0,0,0,0,0,0
